MapID,CommentName,DisplayName,Region,Outdoor,ShowArea,MapPosition,HealingSpot,BattleBack,Flags,HasEncounters,Status,Notes
001,Intro,Intro,Essen (stock),FALSE,FALSE,"","","","",No,"",""
002,Lappet Town,Lappet Town,Essen (stock),TRUE,TRUE,"0,13,12","",field,"",Yes,"",""
003,Player's house,\PN's house,Essen (stock),FALSE,FALSE,"0,13,12","2,8,8","","",No,"",""
004,Pokémon Lab,Pokémon Lab,Essen (stock),FALSE,FALSE,"0,13,12","","","",No,"",""
005,Route 1,Route 1,Essen (stock),TRUE,TRUE,"0,13,11","",field,"",Yes,"",""
006,Kurt's house,Route 1,Essen (stock),FALSE,FALSE,"0,13,11","","","",No,"",""
007,Cedolan City,Cedolan City,Essen (stock),TRUE,TRUE,"0,13,10","","","",No,"",""
008,Daisy's house,Lappet Town,Essen (stock),FALSE,FALSE,"0,13,12","","","",No,"",""
009,Cedolan City Poké Center,Cedolan City,Essen (stock),FALSE,FALSE,"0,14,10","8,17,11","","",No,"",""
010,Cedolan Gym,Cedolan City,Essen (stock),FALSE,FALSE,"0,13,10","",indoor3,DisableBoxLink,No,"",""
011,Pokémon Institute,Cedolan City,Essen (stock),FALSE,FALSE,"0,14,10","","","",No,"",""
012,Cedolan City Condo,Cedolan City,Essen (stock),FALSE,FALSE,"0,14,10","","","",No,"",""
013,Game Corner,Cedolan City,Essen (stock),FALSE,FALSE,"0,14,10","","","",No,"",""
014,Cedolan Dept. 1F,Cedolan City,Essen (stock),FALSE,FALSE,"0,13,10","","","",No,"",""
015,Cedolan Dept. 2F,Cedolan City,Essen (stock),FALSE,FALSE,"0,13,10","","","",No,"",""
016,Cedolan Dept. 3F,Cedolan City,Essen (stock),FALSE,FALSE,"0,13,10","","","",No,"",""
017,Cedolan Dept. 4F,Cedolan City,Essen (stock),FALSE,FALSE,"0,13,10","","","",No,"",""
018,Cedolan Dept. 5F,Cedolan City,Essen (stock),FALSE,FALSE,"0,13,10","","","",No,"",""
019,Cedolan Dept. Rooftop,Cedolan City,Essen (stock),FALSE,FALSE,"0,13,10","","","",No,"",""
020,Cedolan Dept. Elevator,Cedolan City,Essen (stock),FALSE,FALSE,"0,13,10","","","",No,"",""
021,Route 2,Route 2,Essen (stock),TRUE,TRUE,"0,14,8","",field,"",Yes,"",""
023,Lerucean Town,Lerucean Town,Essen (stock),TRUE,TRUE,"0,15,8","","","",No,"",""
024,Lerucean Town Poké Center,Lerucean Town,Essen (stock),FALSE,FALSE,"0,15,8","23,11,15","","",No,"",""
025,Lerucean Town Mart,Lerucean Town,Essen (stock),FALSE,FALSE,"0,15,8","","","",No,"",""
026,Pokémon Fan Club,Lerucean Town,Essen (stock),FALSE,FALSE,"0,15,8","","","",No,"",""
027,Pokémon Day Care,Lerucean Town,Essen (stock),FALSE,FALSE,"0,15,8","","","",No,"",""
028,Natural Park,Natural Park,Essen (stock),TRUE,TRUE,"0,16,8","",field,"MossRock,BugContest",Yes,"",""
029,Natural Park Entrance,Natural Park,Essen (stock),FALSE,FALSE,"0,16,8","","",BugContestReception,No,"",""
030,Natural Park Pavillion,Natural Park,Essen (stock),FALSE,FALSE,"0,16,8","","",BugContestReception,No,"",""
031,Route 3,Route 3,Essen (stock),TRUE,TRUE,"0,14,6","",field,"",Yes,"",""
032,Northshire Abbey Indoor 1F,Northshire Abbey Indoor 1F,Elwynn / Northshire,FALSE,FALSE,"0,12,11","",indoor1,"",No,"",""
034,Ice Cave,Route 3,Essen (stock),FALSE,FALSE,"0,15,6","",cave1,IceRock,Yes,"",""
035,Ingido Plateau outside,Ingido Plateau,Essen (stock),TRUE,TRUE,"0,13,6","","","",No,"",""
036,Pokémon League entrance,Ingido Plateau,Essen (stock),FALSE,FALSE,"0,13,6","35,17,7","","",No,"",""
037,Pokémon League room 1,Ingido Plateau,Essen (stock),FALSE,FALSE,"0,13,6","",elite1,DisableBoxLink,No,"",""
038,Hall of Fame,Ingido Plateau,Essen (stock),FALSE,FALSE,"0,13,6","","",DisableBoxLink,No,"",""
039,Route 4,Route 4,Essen (stock),TRUE,TRUE,"0,11,6","",field,"",Yes,"",""
040,Route 4 Cycling Road,Route 4,Essen (stock),TRUE,TRUE,"0,11,6","","","",No,"",""
041,Route 5,Route 5,Essen (stock),TRUE,TRUE,"0,11,7","","","",Yes,"",""
044,Route 6,Route 6,Essen (stock),TRUE,TRUE,"0,11,10","",field,"",Yes,"",""
045,Route 6 Cycling Road,Route 6,Essen (stock),TRUE,TRUE,"0,11,10","","","",No,"",""
046,Route 4 Cycling Road gate,Route 4,Essen (stock),FALSE,FALSE,"0,12,6","","","",No,"",""
047,Route 7,Route 7,Essen (stock),TRUE,TRUE,"0,15,10","",rocky,"",Yes,"",""
049,Rock Cave 1F,Route 7,Essen (stock),FALSE,FALSE,"0,16,10","",cave1,"Magnetic,DistortionWorld",Yes,"",""
050,Rock Cave B1F,Route 7,Essen (stock),FALSE,FALSE,"0,16,10","",cave3,"Magnetic,DistortionWorld",Yes,"",""
051,Dungeon,Route 7,Dungeon,FALSE,FALSE,"0,16,10","",cave2,"Magnetic,DistortionWorld,ScaleWildEncounterLevels",Yes,"",""
052,Battle Frontier,Battle Frontier,Battle Frontier,TRUE,TRUE,"0,17,10","","","",No,"",""
053,Battle Frontier Poké Center,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","52,17,14","","",No,"",""
054,Battle Frontier Mart,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","","","",No,"",""
055,Battle Tower,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","52,30,10","","",No,"",""
056,Battle Tower arena,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","",indoor1,DisableBoxLink,No,"",""
057,Stadium Cup lobby,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","","","",No,"",""
058,Battle Palace,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","","","",No,"",""
059,Battle Palace arena,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","",indoor1,DisableBoxLink,No,"",""
060,Battle Arena,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","","","",No,"",""
061,Battle Arena arena,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","",indoor1,DisableBoxLink,No,"",""
062,Battle Factory,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","","","",No,"",""
063,Battle Factory intro corridor,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","","",DisableBoxLink,No,"",""
064,Battle Factory arena,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","",indoor1,DisableBoxLink,No,"",""
065,Battle Factory corridor,Battle Frontier,Battle Frontier,FALSE,FALSE,"0,17,10","","",DisableBoxLink,No,"",""
