Sprite,Dex#,Species ID,BST,Available to catch?,Name,Form Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,BST,Showdown ID,Sprite URL
=IMAGE(R2),1,BULBASAUR,318,1,Bulbasaur,-,Grass,Poison,45,49,49,65,65,45,318,bulbasaur,https://play.pokemonshowdown.com/sprites/gen5/bulbasaur.png
=IMAGE(R3),2,IVYSAUR,405,1,Ivysaur,-,Grass,Poison,60,62,63,80,80,60,405,ivysaur,https://play.pokemonshowdown.com/sprites/gen5/ivysaur.png
=IMAGE(R4),3,VENUSAUR,525,1,Venusaur,-,Grass,Poison,80,82,83,100,100,80,525,venusaur,https://play.pokemonshowdown.com/sprites/gen5/venusaur.png
=IMAGE(R5),3,VENUSAUR,625,1,Venusaur (Mega Venusaur),Mega Venusaur,Grass,Poison,80,100,123,122,120,80,625,venusaur-mega,https://play.pokemonshowdown.com/sprites/gen5/venusaur-mega.png
=IMAGE(R6),4,CHARMANDER,309,1,Charmander,-,Fire,,39,52,43,60,50,65,309,charmander,https://play.pokemonshowdown.com/sprites/gen5/charmander.png
=IMAGE(R7),5,CHARMELEON,405,1,Charmeleon,-,Fire,,58,64,58,80,65,80,405,charmeleon,https://play.pokemonshowdown.com/sprites/gen5/charmeleon.png
=IMAGE(R8),6,CHARIZARD,534,1,Charizard,-,Fire,Flying,78,84,78,109,85,100,534,charizard,https://play.pokemonshowdown.com/sprites/gen5/charizard.png
=IMAGE(R9),6,CHARIZARD,634,1,Charizard (Mega Charizard X),Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,634,charizard-megax,https://play.pokemonshowdown.com/sprites/gen5/charizard-megax.png
=IMAGE(R10),6,CHARIZARD,634,1,Charizard (Mega Charizard Y),Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,634,charizard-megay,https://play.pokemonshowdown.com/sprites/gen5/charizard-megay.png
=IMAGE(R11),7,SQUIRTLE,314,1,Squirtle,-,Water,,44,48,65,50,64,43,314,squirtle,https://play.pokemonshowdown.com/sprites/gen5/squirtle.png
=IMAGE(R12),8,WARTORTLE,405,1,Wartortle,-,Water,,59,63,80,65,80,58,405,wartortle,https://play.pokemonshowdown.com/sprites/gen5/wartortle.png
=IMAGE(R13),9,BLASTOISE,530,1,Blastoise,-,Water,,79,83,100,85,105,78,530,blastoise,https://play.pokemonshowdown.com/sprites/gen5/blastoise.png
=IMAGE(R14),9,BLASTOISE,630,1,Blastoise (Mega Blastoise),Mega Blastoise,Water,,79,103,120,135,115,78,630,blastoise-mega,https://play.pokemonshowdown.com/sprites/gen5/blastoise-mega.png
=IMAGE(R15),10,CATERPIE,195,1,Caterpie,-,Bug,,45,30,35,20,20,45,195,caterpie,https://play.pokemonshowdown.com/sprites/gen5/caterpie.png
=IMAGE(R16),11,METAPOD,205,1,Metapod,-,Bug,,50,20,55,25,25,30,205,metapod,https://play.pokemonshowdown.com/sprites/gen5/metapod.png
