Essentials Remix — Trainers,,,,,,,
Sprite lookup,"=IF(Bn="""","""",IF(Bn=""-----"","""",IMAGE(XLOOKUP(Bn,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,,
Northshire Abbey,,,,,,,
Trainer,Kobold Vermin,,,,,,
Sprite,,,,,,,
Species,,,,,,,
Nickname,,,,,,,
Level,,,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Pool,"Rattata, Poochyena, Nidoran♂, Nidoran♀, Caterpie",,,,,,
Party size,1,,,,,,
Notes,Random Lv.1 from vermin pool. Counts toward Kobold Camp Cleanup (need 4).,,,,,,
,,,,,,,
Echo Ridge / Forest's Edge,,,,,,,
Trainer,Kobold Worker,,,,,,
Sprite,,,,,,,
Species,,,,,,,
Nickname,,,,,,,
Level,,,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Pool,"Spinarak Lv.1–2, Poochyena Lv.2, Rattata Lv.2, Pidgey Lv.1–2",,,,,,
Party size,1,,,,,,
Notes,Counts toward Investigate Echo Ridge (need 5).,,,,,,
,,,,,,,
Echo Ridge Mine,,,,,,,
Trainer,Kobold Laborer,,,,,,
Sprite,,,,,,,
Species,,,,,,,
Nickname,,,,,,,
Level,,,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Pool,"Diglett Lv.3, Zubat Lv.3, Rattata Lv.3, Spinarak Lv.3",,,,,,
Party size,1–2,,,,,,
Notes,Rolls 1–2 Pokémon at Lv.3 from pool.,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Camper Liam,,,,,,
Sprite,"=IF(B57="""","""",IF(B57=""-----"","""",IMAGE(XLOOKUP(B57,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C57="""","""",IF(C57=""-----"","""",IMAGE(XLOOKUP(C57,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(D57="""","""",IF(D57=""-----"","""",IMAGE(XLOOKUP(D57,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(E57="""","""",IF(E57=""-----"","""",IMAGE(XLOOKUP(E57,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,
Species,Diglett,Bonsly,Geodude,Onix,,,
Nickname,,,,Rocky,,,
Level,10,11,12,14,,,
Held Item,,,,Sitrusberry,,,
Ability,,,Slot 0,Slot 0,,,
Nature,,,,,,,
Moves,,,Defensecurl,Headsmash,,,
,,,Headsmash,Rockthrow,,,
,,,Rockpolish,Rage,,,
,,,Rockthrow,Rocktomb,,,
Party size,4,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Teamrocket M Grunt (v1),,,,,,
Sprite,"=IF(B72="""","""",IF(B72=""-----"","""",IMAGE(XLOOKUP(B72,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,,
Species,Weepinbell,,,,,,
Nickname,,,,,,,
Level,21,,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,1,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Teamrocket F Grunt (v1),,,,,,
Sprite,"=IF(B87="""","""",IF(B87=""-----"","""",IMAGE(XLOOKUP(B87,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C87="""","""",IF(C87=""-----"","""",IMAGE(XLOOKUP(C87,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(D87="""","""",IF(D87=""-----"","""",IMAGE(XLOOKUP(D87,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,
Species,Burmy,Wingull,Electabuzz,,,,
Nickname,,,,,,,
Level,19,19,20,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,3,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Youngster Ben,,,,,,
Sprite,"=IF(B102="""","""",IF(B102=""-----"","""",IMAGE(XLOOKUP(B102,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C102="""","""",IF(C102=""-----"","""",IMAGE(XLOOKUP(C102,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,
Species,Rattata,Ekans,,,,,
Nickname,,,,,,,
Level,11,11,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,2,,,,,,
,,,,,,,
Northshire Abbey (test),,,,,,,
Trainer,Youngster Ben (v2),,,,,,
Sprite,"=IF(B117="""","""",IF(B117=""-----"","""",IMAGE(XLOOKUP(B117,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C117="""","""",IF(C117=""-----"","""",IMAGE(XLOOKUP(C117,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(D117="""","""",IF(D117=""-----"","""",IMAGE(XLOOKUP(D117,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(E117="""","""",IF(E117=""-----"","""",IMAGE(XLOOKUP(E117,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(F117="""","""",IF(F117=""-----"","""",IMAGE(XLOOKUP(F117,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,
Species,Rattata,Spearow,Sentret,Ekans *,Pidgey *,,
Nickname,,,,,,,
Level,8,8,8,8,9,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,varies (3 + reinforcements),,,,,,
Notes,"Ekans joins after 3 turns; Pidgey after 2 main Pokémon faint. Reinforcement rule: Fainted,2",,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Camper Jeff,,,,,,
Sprite,"=IF(B133="""","""",IF(B133=""-----"","""",IMAGE(XLOOKUP(B133,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C133="""","""",IF(C133=""-----"","""",IMAGE(XLOOKUP(C133,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,
Species,Spearow,Sentret,,,,,
Nickname,,,,,,,
Level,16,16,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,2,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Camper Jeff (v1),,,,,,
Sprite,"=IF(B148="""","""",IF(B148=""-----"","""",IMAGE(XLOOKUP(B148,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C148="""","""",IF(C148=""-----"","""",IMAGE(XLOOKUP(C148,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,
Species,Fearow,Furret,,,,,
Nickname,,,,,,,
Level,29,29,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,2,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Picnicker Susie,,,,,,
Sprite,"=IF(B163="""","""",IF(B163=""-----"","""",IMAGE(XLOOKUP(B163,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,,
Species,Meowth,,,,,,
Nickname,,,,,,,
Level,18,,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,1,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Picnicker Susie (v1),,,,,,
Sprite,"=IF(B178="""","""",IF(B178=""-----"","""",IMAGE(XLOOKUP(B178,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,,
Species,Persian,,,,,,
Nickname,,,,,,,
Level,32,,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,1,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Hiker Ford,,,,,,
Sprite,"=IF(B193="""","""",IF(B193=""-----"","""",IMAGE(XLOOKUP(B193,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,,
Species,Machop,,,,,,
Nickname,,,,,,,
Level,19,,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,1,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Fisherman Andrew,,,,,,
Sprite,"=IF(B208="""","""",IF(B208=""-----"","""",IMAGE(XLOOKUP(B208,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C208="""","""",IF(C208=""-----"","""",IMAGE(XLOOKUP(C208,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,
Species,Magikarp,Magikarp,,,,,
Nickname,,,,,,,
Level,14,18,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,2,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Beauty Bridget,,,,,,
Sprite,"=IF(B223="""","""",IF(B223=""-----"","""",IMAGE(XLOOKUP(B223,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,,
Species,Skitty,,,,,,
Nickname,,,,,,,
Level,18,,,,,,
Held Item,,,,,,,
Ability,,,,,,,
Nature,,,,,,,
Moves,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Party size,1,,,,,,
,,,,,,,
Various (PBS demo),,,,,,,
Trainer,Lass Crissy,,,,,,
Sprite,"=IF(B238="""","""",IF(B238=""-----"","""",IMAGE(XLOOKUP(B238,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))","=IF(C238="""","""",IF(C238=""-----"","""",IMAGE(XLOOKUP(C238,'Sprite List'!$F:$F,'Sprite List'!$R:$R))))",,,,,
