TrainerType,TrainerName,Version,LoseText,TrainerItems,Slot,Species,Level,HeldItem,Moves,AbilityIndex,Gender,IVs,Shiny,Ball,Shadow,Reinforcement,Source,Status,Notes
CAMPER,Liam,0,"A very good battle, indeed!","",1,DIGLETT,10,"","","","","","","","","",PBS,"",""
CAMPER,Liam,0,Very good.,"FULLRESTORE,FULLRESTORE",2,BONSLY,11,"","","","","","","","","",PBS,"",""
CAMPER,Liam,0,Very good.,"FULLRESTORE,FULLRESTORE",3,GEODUDE,12,"","DEFENSECURL,HEADSMASH,ROCKPOLISH,ROCKTHROW",0,male,"20,20,20,20,20,20","","","","",PBS,"",""
CAMPER,Liam,0,Very good.,"FULLRESTORE,FULLRESTORE",4,ONIX,14,SITRUSBERRY,"HEADSMASH,ROCKTHROW,RAGE,ROCKTOMB",0,male,"20,20,20,20,20,20",true,HEAVYBALL,"","",PBS,"",""
TEAMROCKET_M,Grunt,1,You're too good for me!,"",1,WEEPINBELL,21,"","","","","","","",true,"",PBS,"",""
TEAMROCKET_F,Grunt,1,You're too good for me!,"",1,BURMY,19,"","","","","","","","","",PBS,"",""
TEAMROCKET_F,Grunt,1,You're too good for me!,"",2,WINGULL,19,"","","","","","","","","",PBS,"",""
TEAMROCKET_F,Grunt,1,You're too good for me!,"",3,ELECTABUZZ,20,"","","","","","","",true,"",PBS,"",""
YOUNGSTER,Ben,0,"Aww, I lost.","",1,RATTATA,11,"","","","","","","","","",PBS,"",""
YOUNGSTER,Ben,0,"Aww, I lost.","",2,EKANS,11,"","","","","","","","","",PBS,"",""
YOUNGSTER,Ben,2,My reinforcements weren't enough!,"",1,RATTATA,8,"","","","","","","","","",PBS,"",""
YOUNGSTER,Ben,2,My reinforcements weren't enough!,"",2,SPEAROW,8,"","","","","","","","","",PBS,"",""
YOUNGSTER,Ben,2,My reinforcements weren't enough!,"",3,SENTRET,8,"","","","","","","","","",PBS,"",""
YOUNGSTER,Ben,2,My reinforcements weren't enough!,"",4,EKANS,8,"","","","","","","","",3,PBS,"",""
YOUNGSTER,Ben,2,My reinforcements weren't enough!,"",5,PIDGEY,9,"","","","","","","","","Fainted,2",PBS,"",""
CAMPER,Jeff,0,"A very good battle, indeed!","",1,SPEAROW,16,"","","","","","","","","",PBS,"",""
CAMPER,Jeff,0,"A very good battle, indeed!","",2,SENTRET,16,"","","","","","","","","",PBS,"",""
CAMPER,Jeff,1,You beat me again!,"",1,FEAROW,29,"","","","","","","","","",PBS,"",""
CAMPER,Jeff,1,You beat me again!,"",2,FURRET,29,"","","","","","","","","",PBS,"",""
PICNICKER,Susie,0,Defeated! Oh my!,"",1,MEOWTH,18,"","","","","","","","","",PBS,"",""
PICNICKER,Susie,1,Defeated! Oh my!,"",1,PERSIAN,32,"","","","","","","","","",PBS,"",""
HIKER,Ford,0,You're too good for me!,"",1,MACHOP,19,"","","","","","","","","",PBS,"",""
FISHERMAN,Andrew,0,Washed out!,"",1,MAGIKARP,14,"","","","","","","","","",PBS,"",""
FISHERMAN,Andrew,0,Washed out!,"",2,MAGIKARP,18,"","","","","","","","","",PBS,"",""
BEAUTY,Bridget,0,My Skitty!,"",1,SKITTY,18,"","","","","","","","","",PBS,"",""
LASS,Crissy,0,You didn't have to win so convincingly!,"",1,PLUSLE,17,"","","","","","","","","",PBS,"",""
LASS,Crissy,0,You didn't have to win so convincingly!,"",2,MINUN,17,"","","","","","","","","",PBS,"",""
COOLCOUPLE,Alice & Bob,0,Our teamwork failed!,"",1,TURTWIG,19,"","","","","","","","","",PBS,"",""
COOLCOUPLE,Alice & Bob,0,...,"",2,CHIMCHAR,19,"","","","","","","","","",PBS,"",""
COOLCOUPLE,Alice & Bob,0,...,"",3,COMBUSKEN,19,"","","","","","","","","",PBS,"",""
SWIMMER2_F,Ariel,0,Washed out!,"",1,STARYU,15,"","","","","","","","","",PBS,"",""
SWIMMER2_F,Ariel,0,Washed out!,"",2,GOLDEEN,11,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,0,Not too shabby.,"",1,PIDGEOTTO,17,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,0,Not too shabby.,"",2,RATTATA,15,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,0,Not too shabby.,"",3,BULBASAUR,18,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,1,Not too shabby.,"",1,PIDGEOTTO,17,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,1,Not too shabby.,"",2,RATTATA,15,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,1,Not too shabby.,"",3,CHARMANDER,18,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,2,Not too shabby.,"",1,PIDGEOTTO,17,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,2,Not too shabby.,"",2,RATTATA,15,"","","","","","","","","",PBS,"",""
RIVAL1,Blue,2,Not too shabby.,"",3,SQUIRTLE,18,"","","","","","","","","",PBS,"",""
CHAMPION,Blue,0,A good battle indeed!,"",1,VENUSAUR,60,SITRUSBERRY,"","","","","","","","",PBS,"",""
CHAMPION,Blue,0,A good battle indeed!,"",2,CHARIZARD,60,SITRUSBERRY,"","","","","","","","",PBS,"",""
CHAMPION,Blue,0,A good battle indeed!,"",3,BLASTOISE,60,SITRUSBERRY,"","","","","","","","",PBS,"",""
