1	Take Down	Mega Punch/Dynamic Punch/Focus Punch/Hone Claws/Work Up/Headbutt/Mega Kick/Take Down
2	Charm	Razor Wind/Headbutt/Dragon Claw/Taunt/Pay Day/Charm
3	Fake Tears	Swords Dance/Curse/Water Pulse/Psyshock/Helping Hand/Fire Punch/Fake Tears
4	Agility	Whirlwind/Rollout/Calm Mind/Teleport/Ice Punch/Agility
5	Mud-Slap	Mega Kick/Roar/Rest/Thunder Punch/Mud-Slap
6	Scary Face	Toxic/Light Screen/Fly/Scary Face
7	Protect	Horn Drill/Zap Cannon/Hail/Protect/Pin Missile/Protect
8	Fire Fang	Body Slam/Rock Smash/Bulk Up/Substitute/Hyper Beam/Fire Fang
9	Thunder Fang	Take Down/Psych Up/Bullet Seed/Venoshock/Reflect/Giga Impact/Thunder Fang
10	Ice Fang	Double-Edge/Hidden Power/Dig/Magical Leaf/Work Up/Ice Fang
11	Water Pulse	BubbleBeam/Sunny Day/Will-O-Wisp/Solar Beam/Water Pulse
12	Low Kick	Water Gun/Sweet Scent/Taunt/Facade/Solar Blade/Low Kick
13	Acid Spray	Ice Beam/Snore/Brick Break/Fire Spin/Acid Spray
14	Acrobatics	Blizzard/Fly/Thunder Wave/Acrobatics
15	Struggle Bug	Hyper Beam/Seismic Toss/Dig/Struggle Bug
16	Psybeam	Pay Day/Icy Wind/Light Screen/Thunder Wave/Screech/Psybeam
17	Confuse Ray	Submission/Protect/Dragon Tail/Light Screen/Confuse Ray
18	Thief	Counter/Rain Dance/U-turn/Reflect/Thief
19	Disarming Voice	Seismic Toss/Giga Drain/Telekinesis/Roost/Iron Tail/Safeguard/Disarming Voice
20	Trailblaze	Rage/Endure/Safeguard/Dark Pulse/Self-Destruct/Trailblaze
21	Pounce	Mega Drain/Frustration/Foul Play/Rest/Dazzling Gleam/Pounce
22	Chilling Water	SolarBeam/Rock Slide/Chilling Water
23	Charge Beam	Dragon Rage/Iron Tail/Smack Down/Thunder Punch/Thief/Charge Beam
24	Fire Spin	Thunderbolt/DragonBreath/X-Scissor/Snore/Fire Spin
25	Facade	Thunder/Waterfall/Protect/Facade
26	Poison Tail	Earthquake/Poison Jab/Scary Face/Poison Tail
27	Aerial Ace	Fissure/Return/Toxic/Icy Wind/Low Sweep/Aerial Ace
28	Bulldoze	Dig/Leech Life/Tri Attack/Giga Drain/Bulldoze
29	Hex	Psychic/Scald/Charm/Hex
30	Snarl	Teleport/Shadow Ball/Bulk Up/Steel Wing/Snarl
31	Metal Claw	Mimic/Mud-Slap/Brick Break/Fire Punch/Attract/Metal Claw
32	Swift	Double Team/Dazzling Gleam/Sandstorm/Swift
33	Magical Leaf	Ice Punch/Reflect/Calm Mind/Rain Dance/Magical Leaf
34	Icy Wind	Bide/Swagger/Shock Wave/Sludge Wave/Dragon Pulse/Sunny Day/Icy Wind
35	Mud Shot	Metronome/Sleep Talk/Flamethrower/Ice Punch/Hail/Mud Shot
36	Rock Tomb	Self-Destruct/Sludge Bomb/Thunderbolt/Whirlpool/Rock Tomb
37	Draining Kiss	Egg Bomb/Sandstorm/Flamethrower/Beat Up/Draining Kiss
38	Flame Charge	Fire Blast/Thunder/Will-O-Wisp/Flame Charge
39	Low Sweep	Swift/Rock Tomb/Outrage/Facade/Low Sweep
40	Air Cutter	Skull Bash/Defense Curl/Aerial Ace/Psychic/Swift/Air Cutter
41	Stored Power	Soft-Boiled/Thunder Punch/Torment/Earthquake/Helping Hand/Stored Power
42	Night Shade	Dream Eater/Facade/Self-Destruct/Revenge/Night Shade
43	Fling	Sky Attack/Detect/Secret Power/Flame Charge/Shadow Ball/Brick Break/Volt Switch/Fling
44	Dragon Tail	Rest/Play Rough/Imprison/Dragon Tail
45	Venoshock	Thunder Wave/Attract/Solar Beam/Dive/Venoshock
46	Avalanche	Psywave/Thief/Fire Blast/Weather Ball/Avalanche
47	Endure	Explosion/Steel Wing/Low Sweep/Surf/Fake Tears/Endure
48	Volt Switch	Rock Slide/Fire Punch/Skill Swap/Round/Hyper Beam/Rock Tomb/Volt Switch
49	Sunny Day	Tri Attack/Fury Cutter/Snatch/Echoed Voice/Superpower/Sand Tomb/Scald/Sunny Day
50	Rain Dance	Substitute/Nightmare/Overheat/Roost/Bullet Seed/Rain Dance
51	Sandstorm	Roost/Ally Switch/Steel Wing/Blizzard/Icicle Spear/Sandstorm
52	Snowscape	Focus Blast/Sludge Bomb/Bounce/Snowscape
53	Smart Strike	Energy Ball/Mega Drain/Mud Shot/Smart Strike
